word,sentence
お茶,休憩に、温かいお茶でも飲みませんか。
お手洗い,すみません、お手洗いをお借りできますか？
お父さん,「**お父さんは、毎日遅くまで働いている。**」
弟,私の弟は大学生です。
男,彼は男らしい性格だ。
男の子,公園で男の子たちが元気に遊んでいる。
一昨日,一昨日は友達と映画を見に行きました。
おととし,おととしの夏は、猛暑だった。
大人,もう大人なんだから、自分のことは自分で決めなさい。
お腹,お腹が空いた。
同じ,彼と私は同じ歳です。
お兄さん,「あ、お兄さん、これ落としましたよ。」
お姉さん,あそこのカフェのお姉さん、感じがいいね。
伯母さん; 叔母さん,先日、久しぶりに**伯母さん**の家に遊びに行った。
おばあさん,おばあさんが庭で日向ぼっこをしています。
お風呂,今日は疲れたから、早くお風呂に入って寝よう。
お弁当,今日のお昼はお弁当にしよう。
覚える,新しい単語を覚えるのは大変だ。
おまわりさん,道に迷ったので、おまわりさんに道を尋ねた。
重い,この荷物は重い。
面白い,この映画、本当に面白い！
泳ぐ,彼は毎日プールで泳ぐ。
降りる,次の駅で降ります。
終る,会議は17時に終る。
音楽,**私は音楽を聴くのが好きです。**
女,彼女は若い女の人だ。
女の子,公園で、お母さんと**女の子**が楽しそうに遊んでいる。
～回,今月は3回映画を見に行きました。
～階,会議室は3階にあります。
外国,外国に行ったことがない。
外国人,そのレストランは、外国人観光客にも人気がある。
会社,彼は会社を辞めて独立した。
階段,階段を上って2階へ行った。
買い物,明日は**買い物**に行こうと思っています。
買う,本を**買う**。
返す,図書館に本を返しに行った。
帰る,もう遅いから、そろそろ帰ろう。
顔,彼の顔は少し疲れているように見えた。
かかる,この作業には時間がかかる。
鍵,ドアの鍵をなくしてしまった。
書く,手紙を**書く**。
学生,彼は優秀な学生だ。
～か月,息子は生後3か月になりました。
掛ける,壁に絵を掛けます。
かける,音楽をかける。
傘,雨が降りそうだから、傘を持っていこう。
貸す,友達に傘を貸した。
風,今日の風は少し冷たいですね。
風邪,風邪を引いて、熱っぽい。
方,どちらの料理がお好きですか？私**の方**はカレーが好きです。
家族,週末は家族と過ごす予定です。
片仮名,この書類、固有名詞は**カタカナ**で書いてください。
～月,来月は旅行に行く予定です。
学校,私は毎日学校へ行きます。
カップ,コーヒーをもう一杯、カップに入れてもらえますか？
家庭,温かい家庭を築きたい。
角,その猫はテーブルの角に体をこすりつけた。
かばん,電車の中に**かばん**を忘れてしまった。
花瓶,テーブルの上に花瓶が置いてある。
かぶる,帽子をかぶる。
紙,メモを紙に書いた。
カメラ,運動会で子供の姿をカメラに収めた。
火曜日,**火曜日に図書館に行きます。**
辛い,今日のカレーはちょっと辛いね。
体,運動不足で体がなまっている。
借りる,図書館で本を借りる。
～がる,彼は新しいゲームを欲しがっている。
軽い,この箱は見た目より軽い。
カレー,今日の晩ご飯はカレーだよ。
カレンダー,**「カレンダーに旅行の日程を書き込んだ。」**
川; 河,川沿いを散歩するのが好きだ。
～側,私は窓側の席が好きです。
可愛い,その子猫、本当に可愛い！
漢字,この漢字は読み方が難しい。
木,庭に大きな木がある。
黄色,庭に咲いたタンポポが黄色くてきれいだった。
黄色い,庭に咲いたタンポポが黄色い。
消える,夜空に花火が消える。
聞く,ラジオで音楽を聞く。
北,北の方角に山が見える。
ギター,彼はギターを弾くのがとても上手だ。
汚い,その部屋はとても汚い。
喫茶店,午後のひとときを喫茶店で過ごすのが好きだ。
切手,手紙に切手を貼ってポストに入れた。
切符,駅で切符を買って電車に乗った。
昨日,昨日、映画を見に行った。
九,彼は九時に寝る。
牛肉,今夜は牛肉のステーキを食べよう。
牛乳,朝食は牛乳とパンだけだった。
今日,今日、映画を見に行こう。
教室,授業が始まる前に、教室に入って席に着いた。
兄弟,彼は三人兄弟の末っ子です。
去年,去年は旅行に行けませんでした。
嫌い,ピーマンは嫌いです。
切る,紙をハサミで切る。
着る,寒くなったので、コートを着る。
綺麗,庭に咲いている花がとても綺麗だ。
キロ; キログラム,今日の夕食は、鶏肉を1キログラム買ってきて、唐揚げにする予定です。
キロ; キロメートル,家から駅まで約1キロメートルです。
銀行,給料日に銀行でお金をおろした。
金曜日,明日は金曜日だ！
薬,風邪をひいたので、薬を飲んだ。
下さい,すみません、水を一杯下さい。
果物,食後のデザートに果物を食べた。
口,彼は口が固いので、秘密を守ってくれるでしょう。
靴,玄関に靴を脱いでください。
靴下,洗濯した靴下をたたむのが面倒くさい。
国,日本は美しい国です。
曇り,今日は曇りだね。
曇る,窓ガラスが曇る。
暗い,部屋が暗いから、電気をつけよう。
～くらい; ぐらい,今日は疲れたので、軽くご飯を食べる**くらい**で寝ます。
クラス,明日のクラスは何時からだっけ？
グラム,このクッキーは1枚10グラムだよ。
来る,明日、友達が遊びに来る。
車,彼は車で会社に行きます。
黒,彼女は黒い猫を飼っている。
黒い,カラスは黒い。
警官,公園で迷子になった子供が、警官に助けを求めた。
今朝,今朝は少し涼しいですね。
消す,黒板の字を消す。
結構,「コーヒーは結構です。」
結婚,彼女は来年、結婚する予定だ。
月曜日,月曜日はいつも憂鬱だ。
玄関,どうぞ、自然な例文です。  **「ただいま！」と玄関で靴を脱いだ。**
元気,「最近、元気ですか？」
～個,卵を6個買いました。
五,**五**本の指で数える。
～語,「彼のフランス語は流暢だ。」
公園,週末は公園でピクニックをするのが楽しみです。
交差点,あの**交差点**はいつも混んでいる。
紅茶,朝食にはいつも紅茶を飲む。
交番,道に迷ったので、交番で道を尋ねました。
声,彼女の声はとても優しい。
コート,寒くなったので、コートを着て出かけよう。
コーヒー,朝はコーヒーを飲まないと、なかなか目が覚めない。
ここ,すみません、**ここは**立ち入り禁止です。
午後,午後に図書館に行きます。
九日,九日は重陽の節句で、菊の花を飾る習慣があります。
九つ,ここに九つのリンゴがあります。
午前,明日の午前中に会議があります。
答える,質問に答えるのは難しい。
こちら,こちらへどうぞ。 (Kochira e douzo.) / こちらへどうぞ (Kochira e douzo)
こっち,こっちに来て、一緒に見よう。
コップ,テーブルの上にコップが置いてある。
今年,今年こそ、ダイエットを成功させたい。
言葉,嬉しい時にどんな言葉をかけたらいいか、迷ってしまう。
子供,うちの子供は、公園で遊ぶのが大好きです。
この,この本、面白いよ。
御飯,今日の御飯は何にしようかな。
コピーする,このファイルをUSBにコピーしてください。
困る,お金がなくて、明日からどうしようか困っている。
これ,これ、美味しいね！
～ころ; ～ごろ,**夕飯は6時ごろにしよう。**
今月,今月は忙しいです。
今週,今週は忙しいです。
こんな,こんな時間に電話してごめんね。
今晩,今晩は何を食べようかな。
さあ,さあ、出かけよう！
～歳,彼はまだ5歳です。
財布,**例文：**  「財布を忘れて、電車賃が払えなかった。」
魚,夕食は魚にしよう。
先,先に行ってください。
咲く,春になると、庭の桜が咲く。
作文,明日の授業で作文の宿題が出た。
差す,雨が降ってきたので、傘を差した。
～冊,図書館で本を3冊借りた。
雑誌,美容院で雑誌を読みながら待つのが好きです。
砂糖,コーヒーに少し砂糖を入れます。
寒い,今日は本当に寒いですね。
さ来年,さ来年は大学を卒業する予定です。
～さん,田中さんは親切な人です。
三,猫が三匹います。
散歩,天気が良いので、公園に散歩に行きませんか？
四,机の脚は四本です。
～時,忙しい時は、コーヒーを飲む時間もない。
塩,おにぎりに少し塩を振るとおいしい。
しかし,今日は雨だ。しかし、元気に出かけよう。
時間,待ち合わせの**時間**に遅れないように急ごう。
～時間,映画は2時間でした。
仕事,明日は仕事で朝早い。
辞書,意味がわからない単語は、辞書で調べよう。
静か,図書館の中はとても静かだった。
下,彼はテーブルの下に隠れた。
七,今日は七日です。
質問,先生に質問があります。
自転車,駅まで自転車で行きます。
自動車,彼は毎日、自動車で通勤しています。
死ぬ,飼っていた犬が死んで、とても悲しい。
字引,意味がわからない単語は、まず字引で調べてみよう。
自分,自分のことは自分で決める。
閉まる,ドアが閉まる音がした。
閉める,ドアを閉めてください。
締める,* ドアを**締めて**ください。
じゃ; じゃあ,じゃ、また明日。
写真,旅行の**写真**を整理するのが楽しい。
シャツ,新しいシャツを買った。
シャワー,朝起きてすぐにシャワーを浴びた。
十,彼は十歳です。
～中,会議中です。
～週間,夏休みはあと2週間だ。
授業,午後の授業はいつも眠い。
宿題,明日は宿題を提出しないといけない。
上手,彼女は料理が上手です。
丈夫,この傘は丈夫だから、長く使えそうだ。
醤油,卵かけご飯に醤油を少し垂らすと美味しい。
食堂,昼食はいつも会社の食堂で食べる。
知る,田中さんの電話番号を知っていますか？
白,雪が白く積もっている。
白い,雪が白くてきれいだ。
～人,私はアメリカ人です。
新聞,朝、新聞を読むのが日課です。
水曜日,明日は水曜日だ。
吸う,タバコを吸うのは体に悪い。
スカート,彼女は花柄のスカートをはいていた。
好き,猫が好きです。
～すぎ,飲みすぎた。
少ない,現金が少ないので、今日は外食はやめておこう。
すぐに,了解しました。「すぐに」を使った、一般的で自然な短い例文を一つ提案します。  *   **「すぐにご飯にするからね。」**
少し,少し休憩しましょう。
涼しい,今日は涼しいですね。
～ずつ,みかんを3個ずつ配ります。
ストーブ,寒いからストーブをつけた。
スプーン,スープをスプーンで飲む。
スポーツ,週末はスポーツをして過ごしたい。
ズボン,新しいズボンを試着してみた。
住む,東京に住んでいます。
する,明日は何を**する**の？
座る,どうぞ、ここに座ってください。
背,彼は背が高い。
生徒,彼は熱心な生徒で、いつも積極的に授業に参加している。
セーター,今日は寒いから、セーターを着ていこう。
石鹸,手を洗うときは、石鹸をよく泡立てて洗いましょう。
背広,父は会社に行くとき、いつも背広を着ています。
狭い,この部屋は少し狭いですね。
ゼロ,今日のテストは、ゼロ点だった。
千,その映画は千円で見られます。
先月,先月、京都へ旅行に行きました。
先週,先週、京都へ旅行に行きました。
先生,「先生、おはようございます。」
洗濯,今日は洗濯日和だ。
全部,全部で10個あります。
そう; そうです,「雨が降りそうですね。」「ええ、そうですね。」
掃除,週末は部屋の掃除をする予定です。
そうして; そして,雨が降ってきた。そうして、虹が出た。
そこ,「本は**そこ**に置いてください。」
そちら,そちらの天気はいかがですか？
そっち,「それ、私が持ってるから、そっちは置いといて。」
外,外は雨です。
その,その本、面白そうですね。
そば,今日の昼食は、駅の立ち食いそばにした。
空,今日は**空**が青くて気持ちがいい。
それ,それ、いいね！
それから,映画を見て、それからご飯を食べに行った。
それでは,それでは、また明日。
～台,駐車場には車が5台停まっていた。
大学,彼は来年、大学に進学する予定だ。
大使館,パスポートを紛失したので、大使館に連絡しました。
大丈夫,「ちょっと疲れてるけど、大丈夫だよ。」
大好き,このケーキ、本当に大好き！
大切,家族は私にとって、とても大切な存在です。
台所,夕飯の準備で、台所は少し散らかっている。
大変,宿題が**大変**だったけど、やっと終わった。
高い,あの山は高い。
～だけ,"水だけください。 (Mizu dake kudasai.) - 水だけください。 (Water only, please.)"
沢山,今日はお土産を沢山買いました。
タクシー,終電を逃したので、タクシーで帰ることにした。
出す,宿題を出す。
～たち,子供たちが公園で遊んでいます。
立つ,彼は立ち上がって挨拶をした。
たて,机の上に本を**立て**て置いた。
建物,この**建物**は築50年とは思えないほど綺麗だ。
楽しい,友達と遊ぶのは楽しい。
頼む,すみません、それ頼めますか？
たばこ,彼は喫煙所でたばこを吸っていた。
多分,明日は**多分**雨でしょう。
食べ物,このレストランは、食べ物がとても美味しいです。
食べる,私は毎日ご飯を食べます。
卵,朝ごはんに卵を食べた。
誰,そこにいるのは誰ですか？
誰か,**誰か**に手伝ってもらおうかな。
誕生日,明日は私の誕生日です。
段々,階段を段々上がる。
小さい,この箱は**小さい**ので、持ち運びやすいです。
小さな,小さな犬が、しっぽを振って駆け寄ってきた。
近い,駅が近いので便利です。
違う,「それ、ちょっと違うんじゃない？」
近く,コンビニは**近く**にありますか？
地下鉄,東京の地下鉄は複雑だけど便利だ。
地図,旅行前に、目的地の**地図**を調べておこう。
父,**父は毎朝早く起きて、新聞を読みます。**
茶色,庭に茶色の犬がいた。
茶碗,熱いお茶を茶碗に注いだ。
丁度,待ち合わせの時間に丁度着きました。
ちょっと,ちょっと、そこに座ってもいいですか？
使う,このペンはよく**使う**よ。
疲れる,一日中仕事で疲れた。
次,次は何をしようか？
着く,駅に着いたら連絡してね。
机,机の上に本が置いてある。
作る,夕飯はカレーを作る。
つける,電気をつけます。
勤める,私は地元のスーパーに勤めています。
つまらない,この映画、つまらないね。
冷たい,彼女は冷たい目で私を見た。
強い,彼は体が強い。
手,手を洗ってからご飯を食べましょう。
テープ,荷物をテープで梱包した。
テープレコーダー,会議の内容をテープレコーダーで録音した。
テーブル,「食事の前にテーブルを拭きましょう。」
出かける,ちょっとコンビニに出かけてきます。
手紙,祖母から手紙が届いた。
できる,料理ができます。
出口,非常口はあちらです。
テスト,明日は英語のテストがあります。
では,では、また明日。
デパート,週末はデパートに買い物に行こうかな。
でも,雨**でも**、出かけます。
出る,汗が**出る**。
テレビ,昨日は家でテレビを見て過ごしました。
天気,今日の天気は晴れです。
電気,部屋の電気をつけてください。
電車,**例文：**  「電車に乗って学校へ行く。」
電話,後で電話するね。
戸,泥棒は窓からではなく、戸を壊して侵入した。
～度,今夜は30度まで気温が上がるらしい。
ドア,ドアを閉めてください。
トイレ,すみません、トイレはどこですか？
どう,「体調はどう？」
どうして,どうして遅刻したの？
どうぞ,「お茶です。どうぞ。」
動物,動物園にはたくさんの動物がいます。
どうも,どうも、ありがとうございます。
遠い,実家は駅から遠い。
十日,今月の十日は、友達と旅行に行く予定です。
時々,時々、カフェでコーヒーを飲みます。
時計,**例文：**  「**時計**が止まっている。」
どこ,あなたの家はどこですか？
所,ここにあなたの探している**所**があります。
年,今年もよろしくお願いします。
図書館,**図書館で本を借りました。**
どちら,飲み物はコーヒーと紅茶、どちらにしますか？
どっち,飲み物はコーヒーと紅茶、どっちがいい？
とても,このケーキはとても美味しいです。
どなた,すみません、どちら様ですか？（どなた様ですか？）
隣,私の家はコンビニの隣です。
どの,**どの**本を読みますか？
飛ぶ,鳥が空を飛ぶ。
止まる,赤い信号で車が止まる。
友達,明日は友達と映画を見に行きます。
土曜日,土曜日はゆっくり寝たいな。
鳥,庭に小鳥が遊びに来た。
鶏肉,今夜は鶏肉の照り焼きにしよう。
取る,写真を撮る。
撮る,写真を撮るのが好きです。
どれ,どれにしますか？
どんな,どんな音楽が好きですか？
ない,お金が**ない**。
ナイフ,ステーキをナイフで切って食べる。
中,彼は会議中だ。
長い,長い列に並んだ。
鳴く,庭で鳥が鳴いている。
無くす,鍵を無くしてしまった。
なぜ,なぜ遅れたの？
夏,今年は特に暑い夏になりそうだ。
夏休み,今年の夏休みは旅行に行きたいな。
～など,例：**果物や野菜など、色々買ってきたよ。**
七つ,七つの大罪を意識して、ケーキを七つも食べるなんて、食欲旺盛だね。
何,それ、何？
七日,彼は七日間の休暇を取った。
名前,あなたの名前は何ですか？
習う,私はピアノを習っています。
並ぶ,開店前から店の前に人が並ぶ。
並べる,本を棚に並べる。
なる,春に**なる**と、花がたくさん咲きます。
何～,何してるの？
二,彼は二つのリンゴを買った。
にぎやか,お祭り会場は、人で**にぎやか**だった。
肉,夕飯は肉じゃがにしよう。
西,太陽は西に沈む。
～日,明日は15日です。
日曜日,**日曜日はゆっくり過ごしたい。**
荷物,旅行の**荷物**はもうまとめましたか？
ニュース,今日のニュースで、新しい首相が発表された。
庭,庭で花を育てています。
脱ぐ,暑いから上着を脱ぐ。
温い,お風呂のお湯がちょっと温いな。
ネクタイ,彼は今日、青いネクタイを締めている。
猫,庭に猫がいた。
寝る,もう遅いから、寝るね。
～年,今年は良い年になりますように。
ノート,授業中、先生の話をノートにメモした。
登る,毎日、階段を登る。
飲み物,喉が渇いたので、何か飲み物を買ってくる。
飲む,喉が渇いたので、水を飲みました。
乗る,電車に乗る。
歯,毎晩、歯を磨きます。
パーティー,明日の夜、友達の誕生日パーティーがあるんだ。
はい,「宿題は終わった？」「はい、終わりました。」
～杯,コーヒーを一杯ください。
灰皿,すみません、灰皿はありますか？
入る,どうぞ、靴を脱いで中に入ってください。
葉書,旅行先から葉書を送ります。
はく,靴下をはく。
箱,そこに箱を置いておいてください。
橋,川に橋がかかっている。
箸,私は箸でご飯を食べるのが好きです。
始まる,会議は10時から始まります。
初め; 始め,新しいことを始めるのは、いつも少し不安だ。
初めて,日本に来たのは初めてです。
走る,犬が公園を走っている。
バス,バスに乗って学校へ行く。
バター,朝食にトーストにバターを塗って食べました。
二十歳,彼女は二十歳になって、初めてお酒を飲んだ。
働く,彼は毎日一生懸命働いている。
八,彼は八百屋で野菜を買った。
二十日,二十日は給料日だ。
花,庭にきれいな花が咲いている。
鼻,風邪で鼻が詰まって苦しい。
話,あの人とは、もう話したくない。
話す,友達と電話で話す。
母,母はいつも私のことを心配してくれる。
早い,電車が**早く**着いたので、少し時間がある。
速い,彼は走るのが速い。
春,今年は春の訪れが早い。
貼る,ここに切手を貼ってください。
晴れ,今日は晴れで気持ちがいい。
晴れる,明日は晴れるでしょう。
半,**「ジュースを半分こしよう。」**
晩,今晩は何を食べようかな。
～番,私は3番です。
パン,朝ごはんにパンを食べました。
ハンカチ,すみません、ハンカチを貸してもらえませんか？
番号,整理券の番号でお呼びします。
晩御飯,今日の晩御飯は何にしようかな。
半分,ケーキを半分に切って食べよう。
東,東京は日本の東に位置する。
～匹,庭に猫が３匹います。
引く,このドアは、手前に引いてください。
弾く,彼はギターを弾くのが上手です。
低い,雲が低くて、雨が降りそうだ。
飛行機,空港で飛行機を待っています。
左,交差点を左に曲がってください。
人,彼は親切な人です。
一つ,リンゴを一つください。
一月,一月は一年で一番寒い時期だ。
一人,今日は一人で映画を見に行った。
暇,今日は特に予定がないので、暇だ。
百,この本は百ページあります。
病院,風邪が治らないので、明日病院に行こうと思います。
病気,最近、病気で会社を休んでいました。
平仮名,この文章はすべて平仮名で書かれています。
昼,今日は昼から雨が降るらしい。
昼御飯,今日は外で昼御飯を食べよう。
広い,この部屋は広いですね。
フィルム,このカメラはフィルム式なので、現像しないと写真が見られない。
封筒,手紙を**封筒**に入れてポストに投函した。
プール,今日は暑いから、プールに行きたいな。
フォーク,夕食はハンバーグとサラダです。フォークを使っていただきます。
吹く,風が強く吹く。
服,新しい服を買った。
二つ,リンゴを二つください。
豚肉,夕食は豚肉の生姜焼きにしよう。
二人,**二人は手をつないで歩いていた。**
二日,旅行まであと二日だ。
太い,この木は幹が**太い**ね。
冬,今年は冬が早く来そうだ。
降る,雨が降る。
古い,この家は古いけれど、趣がある。
～分,5分後にまた来ます。
文章,この文章は、例文として使われています。
ページ,この本の30ページに重要な情報が載っています。
下手,絵を描くのは下手なんです。
ベッド,疲れたので、すぐにベッドに入った。
ペット,うちのペットは犬です。
部屋,自分の部屋を掃除するのは面倒だ。
辺,公園の**辺**りを散歩した。
ペン,すみません、**ペン**を貸してください。
勉強,明日はテストだから、勉強しなきゃ。
便利,このアプリはとても便利で、毎日使っています。
帽子,日差しが強かったので、帽子をかぶって出かけた。
ボールペン,このボールペン、書きやすいね。
ポケット,携帯電話をポケットに入れた。
欲しい,新しいスマートフォンが欲しい。
ポスト,手紙をポストに入れる。
細い,このペンは細くて書きやすい。
ボタン,シャツのボタンが取れそうだ。
ホテル,旅行でホテルに泊まるのが楽しみです。
本,面白い本を見つけた。
～本,この小説は全3本からなるシリーズの1本目です。
本棚,本棚に好きな小説を並べている。
本当,「それ、本当？」
～枚,切符を2枚ください。
毎朝,毎朝、コーヒーを飲むのが習慣です。
毎月,毎月、美容院で髪を切ってもらっています。
毎週,私は毎週日曜日にジムに行きます。
毎日,私は毎日コーヒーを飲みます。
毎年,私は毎年、夏に沖縄へ旅行に行きます。
毎晩,私は毎晩、寝る前に本を読みます。
前,駅の前で待ち合わせしよう。
～前,会議の10分前に来てください。
曲る,角を曲ると、コンビニが見えます。
まずい,この料理、ちょっと味がまずい。
また,また明日ね！
まだ,ご飯はまだですか？
町,この町は静かで、住みやすいです。
待つ,電車を待ちます。
まっすぐ,この道をまっすぐ行ってください。
マッチ,タバコに火をつけるために、マッチを使った。
窓,窓から外を眺めるのが好きです。
丸い; 円い,月は丸い。
万,この車は百万円で買いました。
万年筆,彼は万年筆で手紙を書いた。
磨く,毎日、靴を磨く。
右,右に曲がってください。
短い,髪を短く切った。
水,喉が渇いたので、水をください。
店,その店はいつもお客さんでいっぱいだ。
見せる,ちょっとこれ、見て見せて。
道,この道はまっすぐ行くと駅に着きます。
三日,彼は三日酔いでダウンしていた。
三つ,りんごを三つください。
緑,公園の芝生が緑で綺麗だ。
皆さん,皆さん、こんにちは！
南,鳥は南へ渡って行った。
耳,音楽を聴くときは、いつもイヤホンを耳につけます。
見る,映画を見る。
みんな,みんなでご飯を食べに行こう！
六日,今月の六日は日曜日だ。
向こう,向こうにコンビニが見えるね。
難しい,この問題は少し難しい。
六つ,**例文：** 机の上にりんごが六つあります。
村,その村は自然に囲まれていて、とても静かだった。
目,目が覚めたら、もう昼だった。
メートル,あのタワーは高さが100メートルもある。
眼鏡,眼鏡をかけないと、遠くの字がぼやけて読めない。
もう,もう食べました。
木曜日,**例文:**  「木曜日に会議があります。」
もしもし,もしもし、田中さんですか？
持つ,彼は強い責任感を持っている。
もっと,ご飯、もっと食べたい。
物,机の上に置いてある物は、何ですか？
門,毎朝、門を通って学校へ行く。
問題,宿題でわからない問題があった。
～屋,八百屋で新鮮なトマトを買った。
八百屋,今日の晩ご飯は、八百屋で新鮮な野菜を買って作ることにしよう。
野菜,今日の夕食は野菜炒めにしよう。
易しい,この問題は易しいので、すぐに解けるでしょう。
安い,この店は野菜が安くて助かる。
休み,明日は休みだ。
休む,今日は疲れたから、早く休もう。
八つ,八つの味が楽しめるミックスジュースはいかがですか？
山,富士山は日本の象徴です。
やる,明日の宿題、もうやった？
夕方,夕方、公園を散歩するのが好きです。
夕飯,今日の夕飯は何にしようかな。
郵便局,**郵便局で切手を買いました。**
昨夜,昨夜はよく眠れませんでした。
有名,彼はとても**有名**なサッカー選手です。
雪,今朝、雪が降っていた。
ゆっくりと,道を**ゆっくりと**歩いた。
八日,八日は、祖母の誕生日です。
洋服,今日は洋服を買いに出かけようかな。
よく,私はコーヒーをよく飲みます。
横,隣の席の人が、横を向いて話しかけてきた。
四日,彼は**四日**ぶりに学校に来た。
四つ,みかんを四つください。
呼ぶ,もしもし、田中さんを呼んでください。
読む,本を読む。
夜,昨夜はよく眠れました。
弱い,彼はプレッシャーに弱い。
来月,来月、旅行に行く予定です。
来週,来週、友達と旅行に行きます。
来年,来年、海外旅行に行きたいです。
ラジオ,朝はラジオを聴きながら、コーヒーを飲むのが日課です。
ラジオカセ,実家にあったラジオカセ、まだ動くかな。
りっぱ,彼女はピアノの腕前が**りっぱ**だ。
留学生,彼は日本語学校の**留学生**です。
両親,両親は旅行が好きで、よく海外に行きます。
料理,今夜は私が料理を作るね。
旅行,来月、京都へ旅行に行きます。
零,今日の気温は零度だ。
冷蔵庫,冷蔵庫に牛乳と卵が入っています。
レコード,この曲のレコードは、もう手に入らないらしい。
レストラン,今日のランチはレストランで食べよう。
練習,毎日ピアノの練習をしています。
廊下,子供たちが廊下を走り回らないように注意した。
六,サイコロの目が六だった。
ワイシャツ,今日は暑いから、ワイシャツ一枚で過ごそう。
若い,彼女は**若い**のに、とてもしっかりしている。
分かる,はい、承知いたしました。「分かる」を使った、一般的で自然な短い例文は以下の通りです。  **「言っている意味が分かるよ。」**
忘れる,鍵を忘れて家に入れなかった。
私,私はコーヒーが好きです。
渡す,すみません、塩を渡してください。
渡る,道を渡る。
悪い,お腹の調子が悪い。
踏む,間違えて人の足を踏んでしまった。
