word,sentence,jlpt_level,original_index,optimal_index,number_of_unknown_tokens,unknown_tokens_in_sentence,tokenized_sentence_surface,reading,meaning
昇る,朝日が昇る。,N3,3061,94,2,"朝日, 昇る","朝日, が, 昇る, 。",のぼる,"to arise, to ascend, to go up"
巻く,マフラーを巻く。,N3,3283,95,2,"マフラー, 巻く","マフラー, を, 巻く, 。",まく,"to wind, to coil, to roll"
選挙,明日は市長の選挙だ。,N3,3359,96,2,"市長, 選挙","明日, は, 市長, の, 選挙, だ, 。",せんきょ,election
初～,初雪が降った。,N2,3474,97,2,"初雪, 降っ","初雪, が, 降っ, た, 。",しょ～,first ~
迫る,締め切りが**迫る**。,N2,3630,98,2,"締め切り, 迫る","締め切り, が, *, *, 迫る, *, *, 。",せまる,"to draw near, to press"
構いません,「明日でも構いません。」,N2,3891,99,2,"構い, ませ","「, 明日, で, も, 構い, ませ, ん, 。, 」",かまいません,it's all right; one doesn’t mind
配る,チラシを配る。,N2,4007,100,2,"チラシ, 配る","チラシ, を, 配る, 。",くばる,"to distribute, to deliver"
小～,小雨が降ってきた。,N2,4065,101,2,"小雨, 降っ","小雨, が, 降っ, て, き, た, 。",こ～,small ~
こしらえる,夕食をこしらえる。,N2,4122,102,2,"夕食, こしらえる","夕食, を, こしらえる, 。",こしらえる,"to make, to manufacture"
明明後日,明明後日は晴れるといいな。,N2,4210,103,2,"明明後日, いい","明明後日, は, 晴れる, と, いい, な, 。",しあさって,two days after tomorrow
慌ただしい,年末は何かと慌ただしい。,N2,4384,104,2,"年末, 慌ただしい","年末, は, 何, か, と, 慌ただしい, 。",あわただしい,"busy, hurried"
快い,そよ風が快い。,N1,5275,105,2,"そよ風, 快い","そよ風, が, 快い, 。",こころよい,"pleasant, agreeable"
作戦,明日の試合の**作戦**を立てよう。,N1,5360,106,2,"作戦, 立てよう","明日, の, 試合, の, *, *, 作戦, *, *, を, 立てよう, 。",さくせん,"military operations, tactics, strategy"
定まる,進路が**定まる**。,N1,5370,107,2,"進路, 定まる","進路, が, *, *, 定まる, *, *, 。",さだまる,"to become settled, to be fixed"
酸,レモンは酸っぱい。,N1,5390,108,2,"レモン, 酸っぱい","レモン, は, 酸っぱい, 。",さん,acid
滞る,支払いが滞る。,N1,5527,109,2,"支払い, 滞る","支払い, が, 滞る, 。",とどこおる,"to stagnate, to be delayed"
整える,髪型を整える。,N1,5528,110,2,"髪型, 整える","髪型, を, 整える, 。",ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money"
練る,企画を**練る**。,N1,5672,111,2,"企画, 練る","企画, を, *, *, 練る, *, *, 。",ねる,"to knead, to work over, to polish up"
解除,ロックを解除する。,N1,5936,112,2,"ロック, 解除","ロック, を, 解除, する, 。",かいじょ,"cancellation, release, cancel"
かなわない,暑さにはかなわない。,N1,6030,113,2,"暑, かなわ","暑, さ, に, は, かなわ, ない, 。",かなわない,"be beyond one's power, be unable"
当選,宝くじに当選した。,N1,6319,114,2,"宝くじ, 当選","宝くじ, に, 当選, し, た, 。",とうせん,"being elected, winning the prize"
仰ぐ,星空を仰ぐ。,N1,6364,115,2,"星空, 仰ぐ","星空, を, 仰ぐ, 。",あおぐ,"to look up (to), to respect; to ask for"
当て,宝くじが当たった！,N1,6395,116,2,"宝くじ, 当たっ","宝くじ, が, 当たっ, た, ！",あて,expectations; depend
清ます,お風呂を清ます。,N1,6599,117,2,"風呂, 清ます","お, 風呂, を, 清ます, 。",すます,"to clear, to make clear, to listen for"
成果,プロジェクトの**成果**が楽しみだ。,N1,6611,118,2,"プロジェクト, 成果","プロジェクト, の, *, *, 成果, *, *, が, 楽しみ, だ, 。",せいか,"results, fruits"
退治,ゴキブリを退治した。,N1,6758,119,2,"ゴキブリ, 退治","ゴキブリ, を, 退治, し, た, 。",たいじ,extermination
用件,用件は何ですか？,N1,7645,120,2,"用件, です","用件, は, 何, です, か, ？",ようけん,business
予感,なんだか嫌な予感がする。,N1,7657,121,2,"なん, 予感","なん, だ, か, 嫌, な, 予感, が, する, 。",よかん,"presentiment, premonition"
会う,明日、駅で会いましょう。,N5,1,122,3,"駅, 会い, ましょう","明日, 、, 駅, で, 会い, ましょう, 。",あう,"to meet, to see"
上げる,手を上げてください。,N5,10,123,3,"手, 上げ, ください","手, を, 上げ, て, ください, 。",あげる,"to raise, to lift"
暖かい,今日は暖かいですね。,N5,18,124,3,"今日, 暖かい, です","今日, は, 暖かい, です, ね, 。",あたたかい,warm
頭,彼は頭がいい。,N5,19,125,3,"彼, 頭, いい","彼, は, 頭, が, いい, 。",あたま,head
あちら,お手洗いはあちらです。,N5,21,126,3,"手洗い, あちら, です","お, 手洗い, は, あちら, です, 。",あちら,this way (polite)
暑い,今日は暑いですね。,N5,22,127,3,"今日, 暑い, です","今日, は, 暑い, です, ね, 。",あつい,"hot (in reference to weather), warm"
扇ぐ,暑いので、うちわで扇ぐ。,N2,4347,128,2,"うちわ, 扇ぐ","暑い, の, で, 、, うちわ, で, 扇ぐ, 。",あおぐ,"to fan, to flap"
厚い,この本は**厚い**。,N5,24,129,3,"この, 本, 厚い","この, 本, は, *, *, 厚い, *, *, 。",あつい,"kind, warm(hearted), thick, deep"
あっち,「あっちにコンビニがあるよ。」,N5,25,130,3,"あっち, コンビニ, ある","「, あっち, に, コンビニ, が, ある, よ, 。, 」",あっち,over there
後,後で電話します。,N5,26,131,3,"後, 電話, ます","後, で, 電話, し, ます, 。",あと,afterwards (later); in the future; the rest; since then
電話,後で電話するね。,N5,437,132,1,電話,"後, で, 電話, する, ね, 。",でんわ,a telephone
鳴る,電話が鳴る。,N4,717,133,1,鳴る,"電話, が, 鳴る, 。",なる,"to sound, to ring (v.i.)"
途絶える,電話が途絶える。,N1,5518,134,1,途絶える,"電話, が, 途絶える, 。",とだえる,"to stop, to cease, to come to an end"
在る,そこに本が在る。,N5,39,135,3,"そこ, 本, 在る","そこ, に, 本, が, 在る, 。",ある,"to be, to have"
言う,彼は「ありがとう」と言った。,N5,45,136,3,"彼, ありがとう, 言っ","彼, は, 「, ありがとう, 」, と, 言っ, た, 。",いう,to say
いかが,お茶でもいかがですか？,N5,47,137,3,"茶, いかが, です","お, 茶, で, も, いかが, です, か, ？",いかが,"how, in what way"
痛い,転んで膝が痛い。,N5,55,138,3,"転ん, 膝, 痛い","転ん, で, 膝, が, 痛い, 。",いたい,hurt; painful; sore
飴,喉が痛いので、飴を舐めた。,N5,37,139,3,"喉, 飴, 舐め","喉, が, 痛い, の, で, 、, 飴, を, 舐め, た, 。",あめ,(hard) candy
一,**「一からやり直そう。」**,N5,56,140,3,"一, から, やり直そう","*, *, 「, 一, から, やり直そう, 。, 」, *, *",いち,one
一つ,リンゴを一つください。,N5,558,141,2,"リンゴ, ください","リンゴ, を, 一, つ, ください, 。",ひとつ,one thing
入口,入口はこちらです。,N5,69,142,3,"入口, こちら, です","入口, は, こちら, です, 。",いりぐち,entrance
ええ,「ええ、そうですね。」,N5,90,143,3,"ええ, そう, です","「, ええ, 、, そう, です, ね, 。, 」",ええ,yes
駅,駅で友達と待ち合わせをした。,N5,91,144,3,"駅, 友達, 待ち合わせ","駅, で, 友達, と, 待ち合わせ, を, し, た, 。",えき,station
向かう,駅に向かう。,N4,1275,145,1,向かう,"駅, に, 向かう, 。",むかう,"to face, to go towards"
降りる,次の駅で降ります。,N5,136,146,2,"降り, ます","次, の, 駅, で, 降り, ます, 。",おりる,to get off
下車,次の駅で下車します。,N2,4034,147,2,"下車, ます","次, の, 駅, で, 下車, し, ます, 。",げしゃ,"alighting, getting off"
多い,人が多いですね。,N5,97,148,3,"人, 多い, です","人, が, 多い, です, ね, 。",おおい,many; there are a lot
お母さん,「お母さん、お腹すいた。」,N5,101,149,3,"母, さん, すい","「, お, 母, さん, 、, お腹, すい, た, 。, 」",おかあさん,mother (formal)
遅い,電車の到着が遅い。,N5,113,150,3,"電車, 到着, 遅い","電車, の, 到着, が, 遅い, 。",おそい,slow; (to be) late
重い,この荷物は重い。,N5,133,151,3,"この, 荷物, 重い","この, 荷物, は, 重い, 。",おもい,heavy; serious
外国,外国に行ったことがない。,N5,143,152,3,"外国, 行っ, こと","外国, に, 行っ, た, こと, が, ない, 。",がいこく,foreign country; abroad
帰る,もう遅いから、そろそろ帰ろう。,N5,150,153,3,"もう, から, 帰ろう","もう, 遅い, から, 、, そろそろ, 帰ろう, 。",かえる,"to go back, to go home, to return"
学生,彼は優秀な学生だ。,N5,155,154,3,"彼, 優秀, 学生","彼, は, 優秀, な, 学生, だ, 。",がくせい,student
紙,メモを紙に書いた。,N5,174,155,3,"メモ, 紙, 書い","メモ, を, 紙, に, 書い, た, 。",かみ,paper
折る,紙を折る。,N4,728,156,1,折る,"紙, を, 折る, 。",おる,"to snap, to break; to bend"
切る,紙をハサミで切る。,N5,208,157,2,"ハサミ, 切る","紙, を, ハサミ, で, 切る, 。",きる,to cut; to hang up (a phone)
はさみ,紙をはさみで切る。,N3,3088,158,1,はさみ,"紙, を, はさみ, で, 切る, 。",はさみ,scissors
カレー,今日の晩ご飯はカレーだよ。,N5,182,159,3,"今日, 晩ご飯, カレー","今日, の, 晩ご飯, は, カレー, だ, よ, 。",カレー,curry (abbr. for curry and rice)
作る,夕飯はカレーを作る。,N5,414,160,2,"夕飯, 作る","夕飯, は, カレー, を, 作る, 。",つくる,"to make, to create"
今夜,今夜はカレーにしよう。,N4,1019,161,2,"今夜, しよう","今夜, は, カレー, に, しよう, 。",こんや,"this evening, tonight"
料理,今夜は私が料理を作るね。,N5,693,162,2,"私, 料理","今夜, は, 私, が, 料理, を, 作る, ね, 。",りょうり,cooking; cuisine
できる,料理ができます。,N5,426,163,2,"でき, ます","料理, が, でき, ます, 。",できる,to be able to (to accomplish)
姉,姉は料理が得意です。,N5,29,164,3,"姉, 得意, です","姉, は, 料理, が, 得意, です, 。",あね,(my) older sister (humble)
辛い,今日のカレーはちょっと辛いね。,N5,177,165,3,"今日, ちょっと, 辛い","今日, の, カレー, は, ちょっと, 辛い, ね, 。",からい,hot and spicy; salty
川; 河,川沿いを散歩するのが好きだ。,N5,184,166,3,"川沿い, 散歩, 好き","川沿い, を, 散歩, する, の, が, 好き, だ, 。",かわ,river
可愛い,その子猫、本当に可愛い！,N5,186,167,3,"その, 子猫, 可愛い","その, 子猫, 、, 本当, に, 可愛い, ！",かわいい,"cute, adorable"
消える,夜空に花火が消える。,N5,191,168,3,"夜空, 花火, 消える","夜空, に, 花火, が, 消える, 。",きえる,"to vanish, to disappear"
牛肉,今夜は牛肉のステーキを食べよう。,N5,201,169,3,"牛肉, ステーキ, 食べよう","今夜, は, 牛肉, の, ステーキ, を, 食べよう, 。",ぎゅうにく,beef
嫌い,ピーマンは嫌いです。,N5,207,170,3,"ピーマン, 嫌い, です","ピーマン, は, 嫌い, です, 。",きらい,dislike
曇る,窓ガラスが曇る。,N5,223,171,3,"窓, ガラス, 曇る","窓, ガラス, が, 曇る, 。",くもる,"to become cloudy, to become dim"
来る,明日、友達が遊びに来る。,N5,228,172,3,"友達, 遊び, 来る","明日, 、, 友達, が, 遊び, に, 来る, 。",くる,to come
消す,黒板の字を消す。,N5,234,173,3,"黒板, 字, 消す","黒板, の, 字, を, 消す, 。",けす,"to erase, to delete, to turn off power"
結構,「コーヒーは結構です。」,N5,235,174,3,"コーヒー, 結構, です","「, コーヒー, は, 結構, です, 。, 」",けっこう,"splendid; enough, tolerably"
元気,「最近、元気ですか？」,N5,239,175,3,"最近, 元気, です","「, 最近, 、, 元気, です, か, ？, 」",げんき,"health(y), energetic"
ご主人,ご主人はお元気ですか？,N4,975,176,2,"主人, です","ご, 主人, は, お, 元気, です, か, ？",ごしゅじん,"(your, her) husband"
お元気で,それでは、またお会いしましょう。お元気で！,N2,3758,177,2,"会い, ましょう","それ, で, は, 、, また, お, 会い, し, ましょう, 。, お, 元気, で, ！",おげんきで,Take care'
答える,質問に答えるのは難しい。,N5,255,178,3,"質問, 答える, 難しい","質問, に, 答える, の, は, 難しい, 。",こたえる,"to answer, to reply"
こんな,こんな時間に電話してごめんね。,N5,270,179,3,"こんな, 時間, ごめん","こんな, 時間, に, 電話, し, て, ごめん, ね, 。",こんな,"such, like this"
魚,夕食は魚にしよう。,N5,275,180,3,"夕食, 魚, しよう","夕食, は, 魚, に, しよう, 。",さかな,fish
釣る,魚を釣る。,N4,1066,181,1,釣る,"魚, を, 釣る, 。",つる,to fish
捕る,魚を捕る。,N2,4542,182,1,捕る,"魚, を, 捕る, 。",とる,"to take, to catch (fish)"
先,先に行ってください。,N5,276,183,3,"先, 行っ, ください","先, に, 行っ, て, ください, 。",さき,"future; recent, previous"
閉まる,ドアが閉まる音がした。,N5,305,184,3,"ドア, 閉まる, 音","ドア, が, 閉まる, 音, が, し, た, 。",しまる,"to close, to be closed"
閉める,ドアを閉めてください。,N5,306,185,3,"ドア, 閉め, ください","ドア, を, 閉め, て, ください, 。",しめる,"to close, to shut"
締める,* ドアを**締めて**ください。,N5,307,186,3,"ドア, 締め, ください","*, ドア, を, *, *, 締め, て, *, *, ください, 。",しめる,"to tie, to fasten, to tighten"
帯,浴衣に帯を締める。,N3,1886,187,2,"浴衣, 帯","浴衣, に, 帯, を, 締める, 。",おび,"band, sash"
～中,会議中です。,N5,313,188,3,"会議, 中, です","会議, 中, です, 。",～じゅう,"during, while"
宿題,明日は宿題を提出しないといけない。,N5,316,189,3,"宿題, 提出, いけ","明日, は, 宿題, を, 提出, し, ない, と, いけ, ない, 。",しゅくだい,homework
出す,宿題を出す。,N5,381,190,1,出す,"宿題, を, 出す, 。",だす,to take (something) out; to hand in (something)
ちっとも,宿題がちっとも終わらない。,N4,802,191,2,"ちっとも, 終わら","宿題, が, ちっとも, 終わら, ない, 。",ちっとも,not at all (neg. verb)
やっと,**やっと宿題が終わった。**,N4,872,192,2,"やっと, 終わっ","*, *, やっと, 宿題, が, 終わっ, た, 。, *, *",やっと,"at last, finally"
～(て) しまう,あ、宿題忘れ**てしまった**！,N4,894,193,2,"忘れ, しまっ","あ, 、, 宿題, 忘れ, *, *, て, しまっ, た, *, *, ！",～(て) しまう,to end up ~
ちゃんと,宿題はちゃんとやった？,N3,2810,194,2,"ちゃんと, やっ","宿題, は, ちゃんと, やっ, た, ？",ちゃんと,"perfectly, properly, exactly"
とっくに,宿題はとっくに終わったよ。,N2,4529,195,2,"とっく, 終わっ","宿題, は, とっく, に, 終わっ, た, よ, 。",とっくに,"long ago, already, a long time ago"
未だ,宿題は未だに終わっていない。,N1,5748,196,2,"未だ, 終わっ","宿題, は, 未だ, に, 終わっ, て, い, ない, 。",いまだ,"yet, still"
嫌々,宿題を嫌々やった。,N1,5750,197,2,"嫌々, やっ","宿題, を, 嫌々, やっ, た, 。",いやいや,"reluctantly, by no means, unwillingly"
放置,宿題を放置してしまった。,N1,7335,198,2,"放置, しまっ","宿題, を, 放置, し, て, しまっ, た, 。",ほうち,"leave as is, leave alone, neglect"
作文,明日の授業で作文の宿題が出た。,N5,278,199,3,"授業, 作文, 出","明日, の, 授業, で, 作文, の, 宿題, が, 出, た, 。",さくぶん,essay; composition
上手,彼女は料理が上手です。,N5,317,200,3,"彼女, 上手, です","彼女, は, 料理, が, 上手, です, 。",じょうず,"be good at, skillful"
妻,**「妻は料理が上手です。」**,N4,1151,201,2,"妻, です","*, *, 「, 妻, は, 料理, が, 上手, です, 。, 」, *, *",つま,wife (humble)
